,Unnamed: 0,ID,location_name,lat,long
9857,9857,2363093,Bafina,13.68314,-0.97362
9856,9856,2363092,Baforo,11.03333,-3.1
9850,9850,2363086,Baga Dombo,14.129270000000002,-1.59262
9835,9835,2363071,Baga Vendou,14.2536,-1.22023
9855,9855,2363091,Bagaben,12.8,-0.8
9547,9547,2362778,Bagabin,12.5441,-1.46853
10154,10154,2570098,Bagabin,12.10972,-1.51217
9854,9854,2363090,Bagade,13.04169,-0.53465
9853,9853,2363089,Bagadogo,11.9,-1.36667
10106,10106,2570044,Bagadogo,12.07459,-1.35243
9851,9851,2363087,Bagadogo,12.91665,-1.03337
9852,9852,2363088,Bagadogo,12.88333,-0.8333299999999999
9508,9508,2362739,Bagadogo,12.61554,-1.3525200000000002
9849,9849,2363085,Bagadowoeghin,12.2903,-1.79923
9804,9804,2363040,Bagafa,11.76694,-1.84972
9848,9848,2363084,Bagahanba,12.15797,1.81485
9847,9847,2363083,Bagala,12.6,-3.83333
9846,9846,2363082,Bagammssi,11.78333,-1.1
9844,9844,2363080,Bagande,12.85,-0.35
9843,9843,2363079,Bagane,10.96667,-3.05
9841,9841,2363077,Bagane,12.03333,-2.31667
9842,9842,2363078,Bagane,11.2,-3.18333
10309,10309,2570338,Bagarao,12.2581,-1.68688
10829,10829,11911810,Bagaraogo,12.24304,-1.69575
9840,9840,2363076,Bagare,12.91667,-2.6
9839,9839,2363075,Bagare,13.30139,-2.36077
9838,9838,2363074,Bagare,13.45136,-1.50591
9837,9837,2363073,Bagari,12.13152,1.84062
9836,9836,2363072,Bagassi,11.75,-3.3
9834,9834,2363070,Bagawa,14.17775,-0.35556
10139,10139,2570083,Bagayiri,12.47821,-1.27127
9529,9529,2362760,Bagayiri,12.55694,-1.45751
10856,10856,11912835,Bagayiri,12.03007,-1.82346
9833,9833,2363069,Bagbanano,10.68333,-3.15
9832,9832,2363068,Bagbili,12.2,-0.6166699999999999
9845,9845,2363081,Bagemnini,12.01553,-1.55169
9831,9831,2363067,Bageou,12.2,-2.9
1955,1955,2355130,Bagma,12.33649,-1.77232
9828,9828,2363064,Bagou,11.28333,-2.23333
9827,9827,2363063,Bagou,12.31667,0.36667
9826,9826,2363062,Bagouedara,10.08333,-3.91667
9825,9825,2363061,Bagouera,10.0,-3.95
9824,9824,2363060,Bagouoko,13.43353,-2.22092
9823,9823,2363059,Bagouzia,11.28333,-2.18333
9822,9822,2363058,Bagozougou,12.41667,-2.16667
9821,9821,2363057,Bagpelogo,11.71667,-1.21667
9819,9819,2363055,Bagpelogo,11.88333,-1.63333
9820,9820,2363056,Bagpelogo,11.76667,-1.13333
10636,10636,7701508,Bagre,11.4824,-0.51695
10125,10125,2570063,Bagtogdo,12.21691,-1.5671
9817,9817,2363053,Baguera,10.53333,-5.41667
9816,9816,2363052,Baguiomo,12.06667,-2.55
9815,9815,2363051,Baham,13.64477,0.70431
9814,9814,2363050,Bahamaka,13.5148,-1.69252
9813,9813,2363049,Bahanere,12.4,-0.25
9812,9812,2363048,Bahara,12.73333,-0.9
9811,9811,2363047,Bahniaga,13.12259,-0.11855999999999997
9810,9810,2363046,Baimbaiga,11.16667,-0.41667
9808,9808,2363044,Baka,12.26667,-0.41667
9809,9809,2363045,Baka,12.25,-0.41667
9807,9807,2363043,Baka,12.28333,-0.41667
9806,9806,2363042,Bakara,11.2,-3.01667
9805,9805,2363041,Bakaribougou,11.05095,-5.11669
10861,10861,11913424,Baken,12.66446,-1.75633
10305,10305,2570324,Bakiensom,12.30093,-1.61276
9803,9803,2363039,Bakina,10.61667,-3.41667
9802,9802,2363038,Bakloute,13.1641,-0.40688
9798,9798,2363034,Bako,10.3,-4.3
9800,9800,2363036,Bako,12.75628,-1.86863
9801,9801,2363037,Bako,12.28333,-0.71667
9797,9797,2363033,Bako,12.06667,-3.78333
9799,9799,2363035,Bako,12.76498,-1.68475
9796,9796,2363032,Bakogo,11.6,-1.15
9795,9795,2363031,Bakono,10.35,-3.16667
9793,9793,2363029,Bakore,14.07741,-1.59334
9792,9792,2363028,Bakori,10.3,-2.83333
9794,9794,2363030,Bakoronisso,11.88051,-4.22199
9791,9791,2363027,Bakotinga,11.06667,-2.71667
9790,9790,2363026,Bakotou,13.26836,0.5099600000000001
9789,9789,2363025,Bakotourou,11.08333,-2.63333
9788,9788,2363024,Bakou,13.37411,-1.99616
9787,9787,2363023,Bakouani,11.13371,-5.19565
9786,9786,2363022,Bakoui,13.01293,-1.6408200000000002
9785,9785,2363021,Bakoulena,10.33333,-3.1
9784,9784,2363020,Bakoumba,12.25,-0.65
9782,9782,2363018,Bakoumbila,12.65282,-1.24981
9783,9783,2363019,Bakoun,9.96667,-2.9
9781,9781,2363017,Bakoute,10.41667,-4.01667
9780,9780,2363016,Bakoutele,10.46667,-3.93333
9779,9779,2363015,Bakouyo,11.36667,-2.58333
9778,9778,2363014,Bakpara,10.56667,-3.16667
9777,9777,2363013,Bala,14.18194,-0.1466
9776,9776,2363012,Bala,10.11667,-2.91667
9775,9775,2363011,Bala,11.49919,-4.08253
9774,9774,2363010,Balabessanko,12.08333,-0.28333
10162,10162,2570107,Balambalo,12.09597,-1.59083
9773,9773,2363009,Balandagou,13.93753,0.18253
9772,9772,2363008,Balangaboingna,10.93333,0.55
9771,9771,2363007,Balangadi,10.96667,0.55
10379,10379,6786263,Balango,13.67049,-2.47335
9770,9770,2363006,Balanti,10.36667,-3.33333
9769,9769,2363005,Balao,11.85,-2.95
9768,9768,2363004,Balave,12.37588,-4.15681
9767,9767,2363003,Balbara,10.56667,-2.95
7039,7039,2360254,Balbo,12.97996,-1.12627
9766,9766,2363002,Balbou,13.3276,-1.2729
11196,11196,12238259,Balboudi,11.71496,0.0811
9765,9765,2363001,Balbouro,10.83333,-3.3833300000000004
9762,9762,2362998,Bale,13.69675,-0.62502
9763,9763,2362999,Bale,13.37231,0.12435999999999997
9764,9764,2363000,Bale,13.33771,0.094
9761,9761,2362997,Balegogo,10.18333,-4.03333
9760,9760,2362996,Balel,13.73066,-0.26002
9759,9759,2362995,Balemba,13.0678,0.00028
9758,9758,2362994,Balemyoure,12.1,-0.58333
9757,9757,2362993,Balga,12.21568,0.19474
11280,11280,12324472,Balgabe,12.95493,0.72664
9756,9756,2362992,Balingara,10.21667,-3.15
9755,9755,2362991,Baliniar,10.8,-3.21667
9754,9754,2362990,Balinsera,9.85,-3.01667
9753,9753,2362989,Balkuy,12.29979,-1.45207
9752,9752,2362988,Balmen,12.16667,-0.41667
9751,9751,2362987,Balo,12.5137,-1.93309
9750,9750,2362986,Balo,13.0,-2.33333
9749,9749,2362985,Balogo,11.41667,-1.53333
9748,9748,2362984,Baloko,11.15,-0.016669999999999997
9747,9747,2362983,Balole,12.29511,-1.74945
10311,10311,2570340,Balole,12.29611,-1.7461099999999998
9744,9744,2362980,Balongodouo,10.23333,-3.23333
9743,9743,2362979,Balonguen,12.05,-0.2
10278,10278,2570258,Balonguen,12.37128,-1.64431
10163,10163,2570108,Balonguen,12.4333,-1.4369999999999998
9745,9745,2362981,Balonguen,12.04733,-1.50185
9742,9742,2362978,Balonza,13.53885,-2.58652
9741,9741,2362977,Balopo,10.6,-3.23333
9740,9740,2362976,Balourel,14.216029999999998,-1.52778
9739,9739,2362975,Bam,13.36293,-1.51225
9347,9347,2362578,Bam,13.567329999999998,-2.52063
9736,9736,2362972,Bama,11.02336,-5.28951
9734,9734,2362970,Bama,12.0357,-4.3987
9735,9735,2362971,Bama,11.37865,-4.42175
9733,9733,2362969,Bamako,10.5555,-4.45222
9732,9732,2362968,Bamako,10.93333,-3.33333
9730,9730,2362966,Bambakari,14.96038,-0.08676
11145,11145,12217365,Bambambou,12.04463,1.28747
9729,9729,2362965,Bambara,13.35702,-2.79241
9728,9728,2362964,Bambeni,13.33411,0.40325
9727,9727,2362963,Bamble,13.659720000000002,-0.34631
9726,9726,2362962,Bambori,13.43849,0.5010600000000001
9724,9724,2362960,Bamena,9.81667,-2.95
9723,9723,2362959,Bamena,10.46667,-3.31667
9668,9668,2362904,Bamga,13.87295,-0.06625
9722,9722,2362958,Bamga,14.02241,0.07172
9721,9721,2362957,Bamgue,13.68285,-0.20058
9720,9720,2362956,Bamguel,14.26885,-0.79568
9818,9818,2363054,Bamguel Baguel,14.33489,-0.6710699999999999
9108,9108,2362337,Bamguel Bode,14.29263,0.22347
9104,9104,2362333,Bamguel Bodie,14.41,-1.51063
10455,10455,6862568,Bamguel Day,14.7003,-0.8451
8011,8011,2361236,Bamguel Diolo,14.1459,-0.6943
10449,10449,6862562,Bamguel Kobi,14.46629,-0.7901699999999999
9719,9719,2362955,Bamguel Kobi,14.46521,-0.76042
9718,9718,2362954,Bamguel Mana,14.46864,-1.10761
9717,9717,2362953,Bamguel Ndao,14.19927,0.34308
10450,10450,6862563,Bamguel Palol Tchoukoungol,14.48927,-0.78708
2800,2800,2355984,Bamguel Sampoule,14.3941,-1.49459
1483,1483,2354656,Bamguel Terbi,14.219270000000002,0.20592
1476,1476,2354649,Bamguel Terelbi,14.56858,-0.87936
9716,9716,2362952,Bamguil,12.45353,1.78666
9714,9714,2362950,Bamletiede,14.26374,-0.60933
9713,9713,2362949,Bamparou,13.47938,0.60311
9712,9712,2362948,Bamtou,10.3,-4.2333300000000005
9345,9345,2362576,Ban,12.70018,-4.3509400000000005
9633,9633,2362869,Ban,14.08163,-2.44561
9709,9709,2362945,Bana,11.91667,-3.3833300000000004
9711,9711,2362947,Bana,11.23204,-4.47506
9710,9710,2362946,Bana,11.7,-1.01667
9708,9708,2362944,Bana,12.6,-3.4833300000000005
9707,9707,2362943,Bana,13.22924,0.76052
9699,9699,2362935,Bana Sokoura,11.93333,-3.4
9706,9706,2362942,Banahari,12.51667,-0.06667000000000001
2530,2530,2355711,Banamb-Sesso,9.8086,-2.87766
6774,6774,2359987,Banamba-Ipiel,9.82275,-2.87709
9674,9674,2362910,Banamba-Izir,9.81802,-2.88363
6748,6748,2359960,Banamba-Toma,9.8285,-2.88572
9705,9705,2362941,Banana,13.3374,-4.0479
9704,9704,2362940,Banankeledara,11.3178,-4.32849
9703,9703,2362939,Banankoro,11.1793,-5.1071
9702,9702,2362938,Banankoro,11.48067,-4.971030000000002
9701,9701,2362937,Banankoro,13.0309,-3.9732
9700,9700,2362936,Banaorodougou,11.33689,-4.34047
9698,9698,2362934,Banbale,10.31667,-5.28333
9697,9697,2362933,Banbeou,10.6,-3.15
9696,9696,2362932,Banbigouabri,13.39507,-0.14864000000000002
9715,9715,2362951,Banbilari,13.213629999999998,0.17754
9695,9695,2362931,Banbou,11.28333,-3.56667
9693,9693,2362929,Banboulo,10.65,-3.11667
10432,10432,6860080,Banda Radie,14.13804,0.22433000000000006
9692,9692,2362928,Bandaguera,10.13333,-3.5
9691,9691,2362927,Bandakelesso,9.83333,-4.38333
9690,9690,2362926,Bandakoro,10.43333,-4.28333
9689,9689,2362925,Bandalon,12.11667,-2.61667
9688,9688,2362924,Bandania,13.92576,-0.22969
9686,9686,2362922,Bande,11.48333,-3.5333300000000003
9685,9685,2362921,Bandega,13.276,-1.18936
9725,9725,2362961,Bandekiri,13.04359,-0.06919
9684,9684,2362920,Bandeo-Napone,12.04605,-2.52094
9683,9683,2362919,Bandiedaga,13.87521,0.25268
9682,9682,2362918,Bandikirini,12.76667,0.4
9681,9681,2362917,Bandio,11.68333,-3.26667
9680,9680,2362916,Bandiosi,13.32055,0.71186
9679,9679,2362915,Bandoue,12.03333,-3.05
9678,9678,2362914,Bandougou,10.96667,-4.86667
9677,9677,2362913,Bane,11.15,-0.5
9676,9676,2362912,Bane,11.59278,-0.34833000000000003
9675,9675,2362911,Banebira,10.46667,-3.5333300000000003
9330,9330,2362561,Banega,11.69902,-2.60785
10860,10860,11913349,Banembanto,12.07687,-1.56778
9673,9673,2362909,Banfora,10.63333,-4.76667
10642,10642,7730463,Banfora Airport,10.68945,-4.72743
9671,9671,2362907,Banfoulague,11.14056,-4.73656
9670,9670,2362906,Banga,12.18333,-3.3
9669,9669,2362905,Banga,13.187,0.8227399999999999
10398,10398,6822236,Banga Bale,13.28065,0.23868000000000006
9666,9666,2362902,Banga Boulla,13.57083,0.7239399999999999
9667,9667,2362903,Bangaba,13.35763,0.31151
10457,10457,6862570,Bangao,14.763229999999998,-0.19523
9665,9665,2362901,Bangao,14.77004,-0.25649
9664,9664,2362900,Bangao,14.76667,-0.18333
10671,10671,8614817,Bangao,14.772329999999998,-0.23759
10461,10461,6862574,Bangao,14.9228,-0.3238
9663,9663,2362899,Bangare,12.85,-0.35
9662,9662,2362898,Bangari,14.32439,-1.48939
9660,9660,2362896,Bangasse,13.194170000000002,-1.0894
9661,9661,2362897,Bangasse,13.09933,-2.59479
9658,9658,2362894,Bangassi,13.2357,-3.9798
9659,9659,2362895,Bangassi,12.77468,-4.18456
9632,9632,2362868,Bangassi,13.1577,-3.2782
9657,9657,2362893,Bangassoko,13.31186,-2.91375
9636,9636,2362872,Bangassomba,13.139879999999998,-2.19273
10814,10814,11911127,Bangassompissen,12.43784,-1.80383
9656,9656,2362892,Bangataka,13.98489,-0.40437
9655,9655,2362891,Bangay,13.01977,-0.30684
9654,9654,2362890,Bangbe Terbi,14.25969,-0.05749
9653,9653,2362889,Bangel,13.27069,0.4154
9638,9638,2362874,Bangma,12.15895,-1.61871
11127,11127,12199927,Bangmiougou,13.49159,-1.12473
9649,9649,2362885,Bango,10.55,-4.36667
9651,9651,2362887,Bango,13.32289,-1.5294
9650,9650,2362886,Bango,13.662679999999998,-2.54466
9648,9648,2362884,Bango,11.4111,-4.36651
9647,9647,2362883,Bango,13.62225,-2.95427
9646,9646,2362882,Bango Bero,14.23333,0.28333
9645,9645,2362881,Bango Mossi,13.65,-2.53333
9644,9644,2362880,Bangonadji,14.68675,-0.35011
9643,9643,2362879,Bangoue,10.41667,-3.81667
9642,9642,2362878,Bangozougou,12.16667,-2.43333
9551,9551,2362782,Bangre,12.15479,-1.32843
9641,9641,2362877,Bangre,12.99386,-1.4125299999999998
11016,11016,11980312,Bangressen,12.19993,-1.20965
9640,9640,2362876,Bangrezanga,12.25,-0.81667
9830,9830,2363066,Bangrin,12.5295,-1.36242
9639,9639,2362875,Banguel Dao,14.22025,-0.14764000000000002
11023,11023,11980327,Banguesom,12.48665,-1.16179
9652,9652,2362888,Banguessom,12.05153,-1.94536
9637,9637,2362873,Banguessoum,12.42156,-1.79882
9635,9635,2362871,Banguiou,11.68333,-3.16667
9634,9634,2362870,Banguissame,11.76667,-1.16667
10761,10761,11257297,Banh,14.083,-2.45
9326,9326,2362557,Banh,13.79265,-2.70945
9631,9631,2362867,Banhie,10.26667,-2.88333
9630,9630,2362866,Banhounou,10.26667,-3.93333
8377,8377,2361603,Bani,13.72139,-0.17222
9627,9627,2362863,Bani,14.01675,-1.70111
9628,9628,2362864,Bani,13.64189,-1.49266
9626,9626,2362862,Bani,14.21884,-2.57727
9629,9629,2362865,Bani,13.36667,-0.26667
9625,9625,2362861,Bania,14.572,-1.8566
9624,9624,2362860,Baniaba,13.36377,0.7034600000000001
9623,9623,2362859,Baniara,10.2,-3.15
9622,9622,2362858,Banika,13.51716,0.406
11214,11214,12253551,Banikani,14.20486,-1.6756400000000002
9621,9621,2362856,Baniossori,11.36667,-2.53333
9620,9620,2362855,Baniotenga,12.86667,-2.71667
9619,9619,2362854,Baniou,13.00115,-2.14146
9618,9618,2362853,Banipoule,10.58333,-2.96667
9617,9617,2362852,Baniri,11.21667,-3.36667
9616,9616,2362850,Bankandi,11.25,-3.06667
9615,9615,2362849,Bankatatougou,12.28969,1.05953
10962,10962,11948025,Bankiemde,12.89471,-1.0588
9614,9614,2362848,Bankoni,11.63333,-3.7
9613,9613,2362847,Bankorosso Gamadou,12.31667,-3.1
9612,9612,2362845,Bankouma,13.2527,-4.1892
9611,9611,2362844,Bankouman,11.91667,-3.56667
9609,9609,2362842,Bankoumani,13.0657,-4.25884
9610,9610,2362843,Bankoumani,12.61667,-3.91667
9608,9608,2362841,Bankoura,10.16667,-3.15
9607,9607,2362840,Bankui,12.61667,-3.56667
9606,9606,2362839,Banlo,10.58333,-3.23333
9605,9605,2362838,Banmbe,12.0194,-4.6119
9604,9604,2362837,Banmbili,12.96667,0.3
9603,9603,2362836,Banmkok Kyaro,13.15642,0.59675
9602,9602,2362835,Banmwanou,12.3,0.73333
9601,9601,2362834,Bannho,13.05974,0.02302
9600,9600,2362833,Bannsyaga,13.01511,0.50275
10290,10290,2570280,Banogo,12.30456,-1.50694
9599,9599,2362832,Banogo,10.6,-4.15
9598,9598,2362831,Banon,11.18333,-1.1
9596,9596,2362828,Banou,12.16667,-3.2
9597,9597,2362829,Banou,11.76667,-3.36667
